date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-05-17,875.0,224760.0,153.0,31763.0,33505.0,997962.0,3717.3867783157334,525.3397234367443,16505.65378208545
2020-05-18,675.0,225435.0,145.0,31908.0,26101.0,1024063.0,3728.5508469906003,527.7379307817157,16937.34764354131
2020-05-19,451.0,225886.0,99.0,32007.0,40226.0,1064289.0,3736.0100988015115,529.3753275206961,17602.659979119388
2020-05-20,813.0,226699.0,162.0,32169.0,38617.0,1102906.0,3749.4565992943517,532.0547040026643,18241.36048284878
2020-05-21,665.0,227364.0,161.0,32330.0,40644.0,1143550.0,3760.4552743592203,534.7175411236326,18913.586271324777
2020-05-22,642.0,228006.0,156.0,32486.0,42987.0,1186537.0,3771.073544121094,537.2976814396019,19624.56378262331
2020-05-23,652.0,228658.0,130.0,32616.0,42579.0,1229116.0,3781.8572074929657,539.4477983695763,20328.793234633926
2020-05-24,669.0,229327.0,119.0,32735.0,34206.0,1263322.0,3792.922040001834,541.4159823285528,20894.538616993188
2020-05-25,531.0,229858.0,50.0,32785.0,20676.0,1283998.0,3801.7044406927293,542.242950378543,21236.506445025116
2020-05-26,300.0,230158.0,92.0,32877.0,33944.0,1317942.0,3806.6662489926703,543.7645715905248,21797.91851480243
2020-05-27,397.0,230555.0,78.0,32955.0,37299.0,1355241.0,3813.232375309592,545.0546417485095,22414.820140734086
2020-05-28,584.0,231139.0,117.0,33072.0,39838.0,1395079.0,3822.891362133477,546.9897469854865,23073.71520424424
2020-05-29,593.0,231732.0,70.0,33142.0,38233.0,1433312.0,3832.6992032063604,548.1475022554727,23706.064593349707
2020-05-30,516.0,232248.0,87.0,33229.0,36051.0,1469363.0,3841.233513482259,549.5864266624556,24302.325096753608
2020-05-31,416.0,232664.0,111.0,33340.0,28948.0,1498311.0,3848.1138876581767,551.4222957334337,24781.106518975907
2020-06-01,355.0,233019.0,75.0,33415.0,18053.0,1516364.0,3853.9853608131066,552.6627478084189,25079.69160310535
2020-06-02,178.0,233197.0,60.0,33475.0,25628.0,1541992.0,3856.9293670710717,553.6551094684071,25503.562346808303
2020-06-03,318.0,233515.0,55.0,33530.0,20035.0,1562027.0,3862.1888838690093,554.5647743233963,25834.928444439356
2020-06-04,321.0,233836.0,71.0,33601.0,27451.0,1589478.0,3867.498018749946,555.7390689543822,26288.95044324495
2020-06-05,177.0,234013.0,88.0,33689.0,40470.0,1629948.0,3870.425485646911,557.1945327223649,26958.29838290698
2020-06-06,518.0,234531.0,85.0,33774.0,34036.0,1663984.0,3878.992874644809,558.6003784073482,27521.232073896277
2020-06-07,270.0,234801.0,72.0,33846.0,27894.0,1691878.0,3883.458502114756,559.791212399334,27982.581009624784
2020-06-08,197.0,234998.0,53.0,33899.0,16301.0,1708179.0,3886.7167562317168,560.6677985323236,28252.189133282573
2020-06-09,280.0,235278.0,65.0,33964.0,32200.0,1740379.0,3891.347777311662,561.7428569973108,28784.75655747623
2020-06-10,283.0,235561.0,79.0,34043.0,37865.0,1778244.0,3896.0284164746063,563.0494665162952,29411.019461733773
2020-06-11,202.0,235763.0,71.0,34114.0,32991.0,1811235.0,3899.3693673965663,564.2237611472813,29956.669520478277
2020-06-12,379.0,236142.0,53.0,34167.0,37651.0,1848886.0,3905.6377852154915,565.1003472802707,30579.39300148186
2020-06-13,163.0,236305.0,56.0,34223.0,32880.0,1881766.0,3908.3337010584596,566.0265514962598,31123.207191155383
2020-06-14,346.0,236651.0,78.0,34301.0,29545.0,1911311.0,3914.0563199643916,567.3166216542444,31611.862611894565
2020-06-15,338.0,236989.0,44.0,34345.0,17463.0,1928774.0,3919.646623982325,568.0443535382358,31900.689473034126
2020-06-16,301.0,237290.0,26.0,34371.0,27762.0,1956536.0,3924.624971643266,568.4743769242306,32359.85521311066
2020-06-17,210.0,237500.0,34.0,34405.0,33957.0,1990493.0,3928.098237453224,569.0367151982239,32921.48229458097
2020-06-18,328.0,237828.0,43.0,34448.0,32921.0,2023414.0,3933.5231478611595,569.7479077212155,33465.97459805549
2020-06-19,331.0,238159.0,66.0,34514.0,28570.0,2051984.0,3938.9976763520945,570.8395055472024,33938.50414181986
2020-06-20,-148.0,238011.0,47.0,34561.0,29875.0,2081859.0,3936.5498509241233,571.6168555141932,34432.61755168898
2020-06-21,264.0,238275.0,49.0,34610.0,24581.0,2106440.0,3940.9162422280715,572.4272842031835,34839.17158442514
2020-06-22,224.0,238499.0,24.0,34634.0,16152.0,2122592.0,3944.6210590920273,572.8242288671788,35106.31534329395
2020-06-23,221.0,238720.0,23.0,34657.0,23225.0,2145817.0,3948.276257872984,573.2046341701742,35490.44200251438
2020-06-24,113.0,238833.0,18.0,34675.0,30237.0,2176054.0,3950.145205665962,573.5023426681707,35990.542661065425
2020-06-25,577.0,239410.0,-31.0,34644.0,29421.0,2205475.0,3959.688416962848,572.9896224771768,36477.14720104063
