id,name,added_at,duration_sec,popularity,artists,genres
61OJxhoY3Ix50rYVKo8zRK,Can I Call You Tonight?,2023-02-13T06:37:04Z,278.769,75,"[{'artist': 'Dayglow', 'artist_id': '6eJa3zG1QZLRB3xgRuyxbm'}]","['austindie', 'indie rock', 'modern rock']"
5x3AHjrsUggibm2XZ75ViB,Mar Jayian - Romantic,2023-02-13T06:22:52Z,288.96,43,"[{'artist': 'Vishal Dadlani', 'artist_id': '6CXEwIaXYfVJ84biCxqc9k'}, {'artist': 'Sunidhi Chauhan', 'artist_id': '3eDT9fwXKuHWFvgZaaYC5v'}, {'artist': 'Bann Chakraborty', 'artist_id': '1lKQzT2nqtUqCvdz8YczIh'}]","['desi pop', 'filmi', 'modern bollywood', 'sufi']"
0snQrp1VaY5Pj1YIHRJpRJ,Chaand Baaliyan,2023-02-13T06:16:35Z,103.264,77,"[{'artist': 'Aditya A', 'artist_id': '4wwYGgSpeBtvk5WX6HBqzw'}]","['desi pop', 'hindi indie', 'modern bollywood']"
07REvABpy6jF1QWvcOL8Iw,Teri Jhuki Nazar,2023-02-12T20:39:09Z,277.906,35,"[{'artist': 'Pritam', 'artist_id': '1wRPtKGflJrBx9BmLsSwlU'}, {'artist': 'Shafqat Amanat Ali', 'artist_id': '5SuRAj1A9FEHj5NxS86YAm'}]","['filmi', 'indian instrumental', 'modern bollywood', 'classic pakistani pop', 'desi pop', 'pakistani pop', 'sufi']"
6EgwlXnFrfkFqOKqY3dqki,Mayonaka No Door / Stay With Me,2023-02-12T04:26:16Z,178.20000000000002,54,"[{'artist': 'Chris Andrian Yang', 'artist_id': '74DSMvAfXpnN3c1KCfvFwQ'}]",['indonesian singer-songwriter']
11ZulcYY4lowvcQm4oe3VJ,Slumber Party (feat. Princess Nokia),2023-02-11T13:35:38Z,178.404,72,"[{'artist': 'Ashnikko', 'artist_id': '3PyJHH2wyfQK3WZrk9rpmP'}, {'artist': 'Princess Nokia', 'artist_id': '6lay1nwbE6hTx1jivysUAL'}]","['alt z', 'dance pop', 'electropop', 'escape room', 'pop', 'alternative r&b', 'lgbtq+ hip hop', 'trap queen', 'viral rap']"
395gJWcJQK0C3GJfHAn7f6,Sajdaa,2023-02-10T18:49:35Z,365.706,60,"[{'artist': 'Shankar-Ehsaan-Loy', 'artist_id': '0L5GV6LN8SWWUWIdBbTLTZ'}, {'artist': 'Rahat Fateh Ali Khan', 'artist_id': '3OLGltG8UPIea8sA4w0yg0'}, {'artist': 'Shankar Mahadevan', 'artist_id': '1SJOL9HJ08YOn92lFcYf8a'}, {'artist': 'Richa Sharma', 'artist_id': '2hgViyN0RqyQQpfjIb0g3W'}]","['desi pop', 'filmi', 'modern bollywood', 'classic pakistani pop', 'qawwali', 'sufi', 'classic bollywood']"
0tE3kaT3c9tjSiOqZJnM1X,Sun Maahi,2023-02-10T11:24:02Z,169.404,64,"[{'artist': 'Armaan Malik', 'artist_id': '4IKVDbCSBTxBeAsMKjAuTs'}, {'artist': 'Amaal Mallik', 'artist_id': '76fuWYgIf3TVIopTs3vaJ6'}]","['desi pop', 'filmi', 'modern bollywood']"
6NS5xZR94aGMVIw3MEmclz,Sun Maahi (English Version),2023-02-10T11:22:23Z,171.06300000000002,52,"[{'artist': 'Armaan Malik', 'artist_id': '4IKVDbCSBTxBeAsMKjAuTs'}, {'artist': 'Amaal Mallik', 'artist_id': '76fuWYgIf3TVIopTs3vaJ6'}]","['desi pop', 'filmi', 'modern bollywood']"
4gqHEia13bp5EFWGitiKWx,Chor Bazaari,2023-02-10T09:28:21Z,257.44,53,"[{'artist': 'Neeraj Shridhar', 'artist_id': '3tHD07u1ON4uHxmnT9rwqZ'}, {'artist': 'Sunidhi Chauhan', 'artist_id': '3eDT9fwXKuHWFvgZaaYC5v'}, {'artist': 'Pritam', 'artist_id': '1wRPtKGflJrBx9BmLsSwlU'}]","['desi hip hop', 'desi pop', 'filmi', 'modern bollywood', 'sufi', 'indian instrumental']"
22kRCQPyNXWZSQEcDvCmGD,Gulabi,2023-02-10T09:18:08Z,230.661,58,"[{'artist': 'Sachin-Jigar', 'artist_id': '1mBydYMVBECdDmMfE2sEUO'}, {'artist': 'Jigar Saraiya', 'artist_id': '48RCl7AbbfhC60EN8a80Op'}, {'artist': 'Priya Saraiya', 'artist_id': '6q29t5RuXxlBuqIZsOMQss'}, {'artist': 'Jaideep Sahni', 'artist_id': '5kPOMQZvgkAEnRZqwn9SYQ'}]","['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']"
3lxaMlRmb2r3rLXhhJVj1u,Wake Up Sid! - Club Mix,2023-02-10T09:17:30Z,223.946,43,"[{'artist': 'Shankar-Ehsaan-Loy', 'artist_id': '0L5GV6LN8SWWUWIdBbTLTZ'}, {'artist': 'Shankar Mahadevan', 'artist_id': '1SJOL9HJ08YOn92lFcYf8a'}]","['desi pop', 'filmi', 'modern bollywood']"
